Appt_Date	Appt_End	Appt_Start	Type	Division	Month	Day	Year
11/25/2014	17:00:00	09:00:00	A-T  Taping	misc lecture	11	25	2014
11/25/2014	13:30:00	12:30:00	A-T  Taping	Humanities	11	25	2014
11/20/2014	18:00:00	17:00:00	A-T  Taping	Humanities	11	20	2014
11/20/2014	17:00:00	16:00:00	A-T  Taping	Humanities	11	20	2014
11/19/2014	11:00:00	10:00:00	A-T  Taping	Humanities	11	19	2014
11/19/2014	17:00:00	16:00:00	A-T  Taping	Humanities	11	19	2014
11/19/2014	10:00:00	09:00:00	A-T  Taping	Science	11	19	2014
11/19/2014	19:00:00	18:00:00	A-T  Taping	Science	11	19	2014
11/19/2014	12:00:00	11:00:00	A-T  Taping	Science	11	19	2014
11/19/2014	16:00:00	14:00:00	A-T  Taping	Humanities	11	19	2014
11/18/2014	15:00:00	14:00:00	A-T  Taping	Social Science	11	18	2014
11/18/2014	13:00:00	11:00:00	A-T  Taping	Social Science	11	18	2014
11/18/2014	17:00:00	16:00:00	A-T  Taping	Humanities	11	18	2014
11/18/2014	17:00:00	16:00:00	A-T  Taping	Social Science	11	18	2014
11/17/2014	15:00:00	13:00:00	A-T  Taping	Social Science	11	17	2014
11/17/2014	11:00:00	10:00:00	A-T  Taping	Humanities	11	17	2014
11/14/2014	12:00:00	11:00:00	A-T  Taping	Science	11	14	2014
11/13/2014	11:00:00	10:00:00	A-T  Taping	Social Science	11	13	2014
11/13/2014	15:00:00	14:00:00	A-T  Taping	Social Science	11	13	2014
11/12/2014	12:00:00	11:00:00	A-T  Taping	Science	11	12	2014
11/12/2014	13:00:00	12:00:00	A-T  Taping	Social Science	11	12	2014
11/12/2014	14:00:00	13:00:00	A-T  Taping	Social Science	11	12	2014
11/07/2014	12:00:00	11:00:00	A-T  Taping	Humanities	11	7	2014
11/06/2014	15:00:00	14:00:00	A-T  Taping	Humanities	11	6	2014
11/06/2014	13:00:00	12:00:00	A-T  Taping	Humanities	11	6	2014
11/06/2014	13:00:00	11:30:00	A-T  Taping	Science	11	6	2014
11/05/2014	12:00:00	11:00:00	A-T  Taping	Social Science	11	5	2014
11/05/2014	15:00:00	14:00:00	A-T  Taping	Social Science	11	5	2014
11/05/2014	16:00:00	15:00:00	A-T  Taping	Social Science	11	5	2014
11/05/2014	16:00:00	15:00:00	A-T  Taping	Science	11	5	2014
11/04/2014	12:00:00	11:00:00	A-T  Taping	Science	11	4	2014
11/04/2014	16:00:00	14:00:00	A-T  Taping	Science	11	4	2014
11/04/2014	11:30:00	10:00:00	A-T  Taping	Humanities	11	4	2014
11/03/2014	11:00:00	10:00:00	A-T  Taping	Humanities	11	3	2014
11/03/2014	21:00:00	19:00:00	A-T  Taping	Science	11	3	2014
11/03/2014	19:00:00	18:00:00	A-T  Taping	Humanities	11	3	2014
10/31/2014	17:00:00	09:00:00	A-T  Taping	misc lecture	10	31	2014
10/31/2014	13:00:00	12:00:00	A-T  Taping	Social Science	10	31	2014
10/31/2014	13:00:00	12:00:00	A-T  Taping	Humanities	10	31	2014
10/30/2014	13:00:00	12:00:00	A-T  Taping	Humanities	10	30	2014
10/30/2014	12:00:00	11:00:00	A-T  Taping	Social Science	10	30	2014
10/30/2014	17:00:00	16:00:00	A-T  Taping	Social Science	10	30	2014
10/30/2014	16:00:00	15:00:00	A-T  Taping	Humanities	10	30	2014
10/30/2014	17:00:00	16:00:00	A-T  Taping	Humanities	10	30	2014
10/30/2014	14:00:00	13:00:00	A-T  Taping	Science	10	30	2014
10/29/2014	13:00:00	12:00:00	A-T  Taping	Science	10	29	2014
10/29/2014	17:00:00	16:00:00	A-T  Taping	Humanities	10	29	2014
10/29/2014	11:00:00	10:00:00	A-T  Taping	Science	10	29	2014
10/29/2014	11:00:00	10:00:00	A-T  Taping	Science	10	29	2014
10/28/2014	19:00:00	18:00:00	A-T  Taping	Science	10	28	2014
10/28/2014	14:00:00	12:00:00	A-T  Taping	Science	10	28	2014
10/28/2014	13:00:00	12:00:00	A-T  Taping	Humanities	10	28	2014
10/27/2014	15:00:00	14:00:00	A-T  Taping	Social Science	10	27	2014
10/24/2014	10:00:00	09:00:00	A-T  Taping	Humanities	10	24	2014
10/24/2014	11:00:00	10:00:00	A-T  Taping	Social Science	10	24	2014
10/24/2014	12:00:00	11:00:00	A-T  Taping	Humanities	10	24	2014
10/24/2014	15:00:00	14:00:00	A-T  Taping	Social Science	10	24	2014
10/23/2014	11:00:00	10:00:00	A-T  Taping	Social Science	10	23	2014
10/23/2014	17:00:00	16:00:00	A-T  Taping	Humanities	10	23	2014
10/23/2014	14:00:00	13:00:00	A-T  Taping	Social Science	10	23	2014
10/23/2014	15:00:00	14:00:00	A-T  Taping	Science	10	23	2014
10/22/2014	15:00:00	14:00:00	A-T  Taping	Science	10	22	2014
10/22/2014	13:00:00	12:00:00	A-T  Taping	Science	10	22	2014
10/22/2014	14:00:00	13:00:00	A-T  Taping	Social Science	10	22	2014
10/21/2014	11:00:00	10:00:00	A-T  Taping	Science	10	21	2014
10/21/2014	16:00:00	14:30:00	A-T  Taping	Science	10	21	2014
10/21/2014	11:00:00	10:00:00	A-T  Taping	Humanities	10	21	2014
10/21/2014	18:00:00	17:00:00	A-T  Taping	Humanities	10	21	2014
10/21/2014	12:00:00	11:00:00	A-T  Taping	Social Science	10	21	2014
10/20/2014	11:00:00	10:00:00	A-T  Taping	Humanities	10	20	2014
10/20/2014	12:00:00	11:00:00	A-T  Taping	Humanities	10	20	2014
10/20/2014	15:00:00	13:00:00	A-T  Taping	Social Science	10	20	2014
10/17/2014	16:00:00	15:00:00	A-T  Taping	Humanities	10	17	2014
10/17/2014	15:00:00	14:00:00	A-T  Taping	Humanities	10	17	2014
10/17/2014	14:00:00	13:00:00	A-T  Taping	Science	10	17	2014
10/17/2014	10:00:00	09:00:00	A-T  Taping	Science	10	17	2014
10/17/2014	17:00:00	16:00:00	A-T  Taping	Humanities	10	17	2014
10/17/2014	12:00:00	11:00:00	A-T  Taping	Social Science	10	17	2014
10/16/2014	17:00:00	15:00:00	A-T  Taping	Social Science	10	16	2014
10/16/2014	21:00:00	19:30:00	A-T  Taping	Science	10	16	2014
10/16/2014	11:30:00	10:00:00	A-T  Taping	Science	10	16	2014
10/16/2014	16:00:00	14:00:00	A-T  Taping	Social Science	10	16	2014
10/16/2014	12:00:00	11:00:00	A-T  Taping	misc lecture	10	16	2014
10/15/2014	15:00:00	13:30:00	A-T  Taping	Science	10	15	2014
10/15/2014	17:00:00	16:00:00	A-T  Taping	Science	10	15	2014
10/15/2014	13:00:00	12:00:00	A-T  Taping	Social Science	10	15	2014
10/14/2014	12:00:00	11:00:00	A-T  Taping	Science	10	14	2014
10/14/2014	21:00:00	19:30:00	A-T  Taping	Science	10	14	2014
10/14/2014	19:00:00	18:00:00	A-T  Taping	Science	10	14	2014
10/14/2014	09:30:00	08:30:00	A-T  Taping	Social Science	10	14	2014
10/10/2014	15:30:00	14:30:00	A-T  Taping	Science	10	10	2014
10/09/2014	18:00:00	15:00:00	A-T  Taping	misc lecture	10	9	2014
10/08/2014	12:00:00	11:00:00	A-T  Taping	Science	10	8	2014
10/08/2014	17:00:00	16:00:00	A-T  Taping	Social Science	10	8	2014
10/07/2014	20:30:00	19:00:00	A-T  Taping	Science	10	7	2014
10/07/2014	11:00:00	10:00:00	A-T  Taping	Science	10	7	2014
10/06/2014	11:00:00	10:00:00	A-T  Taping	Humanities	10	6	2014
10/06/2014	16:00:00	14:30:00	A-T  Taping	Science	10	6	2014
10/06/2014	18:00:00	17:00:00	A-T  Taping	Science	10	6	2014
10/06/2014	14:30:00	13:00:00	A-T  Taping	Science	10	6	2014
10/03/2014	14:30:00	13:00:00	A-T  Taping	Science	10	3	2014
10/03/2014	13:00:00	12:00:00	A-T  Taping	Humanities	10	3	2014
10/02/2014	10:00:00	08:30:00	A-T  Taping	Science	10	2	2014
10/01/2014	14:30:00	13:00:00	A-T  Taping	Science	10	1	2014
10/01/2014	12:00:00	11:00:00	A-T  Taping	Humanities	10	1	2014
09/30/2014	20:00:00	19:00:00	A-T  Taping	Science	9	30	2014
09/26/2014	14:30:00	13:00:00	A-T  Taping	Science	9	26	2014
09/25/2014	16:30:00	15:00:00	A-T  Taping	Science	9	25	2014
09/25/2014	14:00:00	13:00:00	A-T  Taping	Social Science	9	25	2014
09/25/2014	16:00:00	15:00:00	A-T  Taping	Science	9	25	2014
09/25/2014	12:00:00	11:00:00	A-T  Taping	Social Science	9	25	2014
09/24/2014	20:30:00	19:00:00	A-T  Taping	Science	9	24	2014
09/24/2014	14:30:00	13:00:00	A-T  Taping	Science	9	24	2014
09/19/2014	14:30:00	13:00:00	A-T  Taping	Science	9	19	2014
09/18/2014	16:30:00	15:00:00	A-T  Taping	Science	9	18	2014
09/17/2014	14:30:00	13:00:00	A-T  Taping	Science	9	17	2014
09/16/2014	20:30:00	19:30:00	A-T  Taping	Science	9	16	2014
09/11/2014	18:00:00	15:30:00	A-T  Taping	misc lecture	9	11	2014
07/31/2014	12:00:00	10:00:00	A-T  Taping	Humanities	7	31	2014
07/30/2014	11:30:00	09:30:00	A-T  Taping	Science	7	30	2014
10/6/14			camera loan	Social Science	10	6	2014
10/14/14			camera loan	Science	10	14	2014
10/6/14			camera loan	Science	10	6	2014
10/7/14			camera loan	Humanities	10	7	2014
10/20/14			camera loan	Humanities	10	20	2014
10/20/14			camera loan	Humanities	10	20	2014
10/21/14			camera loan	Humanities	10	21	2014
10/22/14			camera loan	Humanities	10	22	2014
10/22/14			camera loan	Humanities	10	22	2014
10/22/14			camera loan	Humanities	10	22	2014
10/27/14			camera loan	Humanities	10	27	2014
10/27/14			camera loan	Humanities	10	27	2014
11/24/14			camera loan	Humanities	11	24	2014
12/1/14			camera loan	Humanities	12	1	2014
2/13/15			camera loan	Humanities	2	13	2015
2/24/15			camera loan	Social Science	2	24	2015
2/23/15			camera loan	Social Science	2	23	2015
2/24/15			camera loan	Social Science	2	24	2015
3/2/15			camera loan	Humanities	3	2	2015
3/30/15			camera loan	Humanities	3	30	2015
3/3/15			camera loan	Social Science	3	3	2015
3/5/15			camera loan	Social Science	3	5	2015
3/1/15			camera loan	Social Science	3	1	2015
3/3/15			camera loan	Social Science	3	3	2015
3/5/15			camera loan	Social Science	3	5	2015
3/4/15			camera loan	Humanities	3	4	2015
3/5/15			camera loan	Social Science	3	5	2015
3/9/15			camera loan	Social Science	3	9	2015
3/12/15			camera loan	Science	3	12	2015
3/11/15			camera loan	Humanities	3	11	2015
4/1/15			camera loan	Humanities	4	1	2015
3/26/15			camera loan	Social Science	3	26	2015
3/25/15			camera loan	Science	3	25	2015
3/30/15			camera loan	Humanities	3	30	2015
03/27/2015	16:00:00	13:00:00	G-P  Micro/Practice Teaching	Bok seminar	3	27	2015
03/25/2015	16:30:00	15:00:00	G-P  Micro/Practice Teaching	Bok seminar	3	25	2015
03/23/2015	16:30:00	15:00:00	G-P  Micro/Practice Teaching	Bok seminar	3	23	2015
02/25/2015	16:30:00	15:00:00	G-P  Micro/Practice Teaching	Bok seminar	2	25	2015
02/23/2015	16:30:00	15:00:00	G-P  Micro/Practice Teaching	Bok seminar	2	23	2015
02/23/2015	16:30:00	15:00:00	G-P  Micro/Practice Teaching	Bok seminar	2	23	2015
02/17/2015	11:30:00	09:30:00	G-P  Micro/Practice Teaching	Science	2	17	2015
02/17/2015	11:30:00	09:30:00	G-P  Micro/Practice Teaching	Science	2	17	2015
02/06/2015	15:00:00	10:00:00	G-P  Micro/Practice Teaching	Science	2	6	2015
02/04/2015	10:30:00	09:00:00	G-P  Micro/Practice Teaching	Science	2	4	2015
02/03/2015	16:30:00	14:30:00	G-P  Micro/Practice Teaching	Science	2	3	2015
02/02/2015	14:00:00	12:00:00	G-P  Micro/Practice Teaching	Science	2	2	2015
01/30/2015	12:00:00	10:00:00	G-P  Micro/Practice Teaching	Science	1	30	2015
01/30/2015	10:30:00	09:00:00	G-P  Micro/Practice Teaching	Science	1	30	2015
01/29/2015	17:30:00	16:00:00	G-P  Micro/Practice Teaching	Science	1	29	2015
01/15/2015	12:00:00	10:00:00	G-P  Micro/Practice Teaching	Science	1	15	2015
01/14/2015	14:00:00	12:00:00	G-P  Micro/Practice Teaching	Science	1	14	2015
01/13/2015	12:00:00	10:00:00	G-P  Micro/Practice Teaching	Science	1	13	2015
12/09/2014	11:00:00	09:00:00	G-P  Micro/Practice Teaching	Humanities	12	9	2014
12/04/2014	19:00:00	17:00:00	G-P  Micro/Practice Teaching	Humanities	12	4	2014
12/02/2014	19:00:00	17:00:00	G-P  Micro/Practice Teaching	Humanities	12	2	2014
11/25/2014	11:00:00	09:30:00	G-P  Micro/Practice Teaching	Bok seminar	11	25	2014
11/24/2014	16:00:00	14:30:00	G-P  Micro/Practice Teaching	Bok seminar	11	24	2014
11/20/2014	11:00:00	09:30:00	G-P  Micro/Practice Teaching	Bok seminar	11	20	2014
11/19/2014	16:00:00	14:30:00	G-P  Micro/Practice Teaching	Bok seminar	11	19	2014
11/18/2014	11:30:00	09:30:00	G-P  Micro/Practice Teaching	Science	11	18	2014
11/18/2014	11:30:00	09:30:00	G-P  Micro/Practice Teaching	Science	11	18	2014
11/18/2014	11:00:00	09:30:00	G-P  Micro/Practice Teaching	Humanities	11	18	2014
11/17/2014	16:00:00	14:30:00	G-P  Micro/Practice Teaching	Humanities	11	17	2014
11/04/2014	14:30:00	12:30:00	G-P  Micro/Practice Teaching	Science	11	4	2014
11/04/2014	14:30:00	12:30:00	G-P  Micro/Practice Teaching	Science	11	4	2014
10/23/2014	11:00:00	09:30:00	G-P  Micro/Practice Teaching	Bok seminar	10	23	2014
10/22/2014	16:00:00	14:30:00	G-P  Micro/Practice Teaching	Bok seminar	10	22	2014
10/21/2014	14:30:00	12:30:00	G-P  Micro/Practice Teaching	Science	10	21	2014
10/21/2014	14:30:00	12:30:00	G-P  Micro/Practice Teaching	Science	10	21	2014
10/21/2014	11:00:00	09:30:00	G-P  Micro/Practice Teaching	Bok seminar	10	21	2014
10/20/2014	16:00:00	14:30:00	G-P  Micro/Practice Teaching	Bok seminar	10	20	2014
10/14/2014	11:30:00	09:30:00	G-P  Micro/Practice Teaching	Science	10	14	2014
10/14/2014	11:30:00	21:30:00	G-P  Micro/Practice Teaching	Science	10	14	2014
10/07/2014	14:30:00	12:30:00	G-P  Micro/Practice Teaching	Science	10	7	2014
10/07/2014	14:30:00	12:30:00	G-P  Micro/Practice Teaching	Science	10	7	2014
10/02/2014	11:00:00	09:30:00	G-P  Micro/Practice Teaching	Bok seminar	10	2	2014
10/01/2014	16:00:00	14:30:00	G-P  Micro/Practice Teaching	Bok seminar	10	1	2014
09/30/2014	11:00:00	09:30:00	G-P  Micro/Practice Teaching	Bok seminar	9	30	2014
09/29/2014	16:00:00	14:30:00	G-P  Micro/Practice Teaching	Bok seminar	9	29	2014
09/12/2014	13:00:00	11:00:00	G-P  Micro/Practice Teaching	Science	9	12	2014
09/12/2014	12:00:00	10:00:00	G-P  Micro/Practice Teaching	Science	9	12	2014
09/12/2014	16:00:00	14:00:00	G-P  Micro/Practice Teaching	Science	9	12	2014
09/09/2014	13:00:00	11:00:00	G-P  Micro/Practice Teaching	Science	9	9	2014
09/05/2014	12:00:00	10:00:00	G-P  Micro/Practice Teaching	Science	9	5	2014
09/05/2014	12:00:00	10:00:00	G-P  Micro/Practice Teaching	Science	9	5	2014
09/04/2014	18:00:00	16:00:00	G-P  Micro/Practice Teaching	Science	9	4	2014
09/04/2014	12:00:00	10:00:00	G-P  Micro/Practice Teaching	Science	9	4	2014
09/03/2014	15:00:00	13:00:00	G-P  Micro/Practice Teaching	Science	9	3	2014
09/03/2014	12:00:00	10:00:00	G-P  Micro/Practice Teaching	Science	9	3	2014
09/02/2014	16:00:00	14:00:00	G-P  Micro/Practice Teaching	Science	9	2	2014
08/19/2014	16:00:00	13:00:00	G-P  Micro/Practice Teaching	Science	8	19	2014
08/19/2014	13:00:00	09:00:00	G-P  Micro/Practice Teaching	Science	8	19	2014
08/15/2014	12:30:00	10:00:00	G-P  Micro/Practice Teaching	Science	8	15	2014
07/31/2014	12:00:00	10:00:00	G-P  Micro/Practice Teaching	Science	7	31	2014
07/29/2014	12:00:00	10:00:00	G-P  Micro/Practice Teaching	Science	7	29	2014
07/24/2014	12:00:00	10:00:00	G-P  Micro/Practice Teaching	Science	7	24	2014
07/22/2014	12:00:00	10:00:00	G-P  Micro/Practice Teaching	Science	7	22	2014
07/18/2014	16:00:00	13:00:00	G-P  Micro/Practice Teaching		7	18	2014
